nom,date,heure,prix,etablissement,adresse,arrondissement
29,Vendredi 24 novembre,20h,8,L'international,5 rue Moret,11
29,Vendredi 24 novembre,00h,7,L'international,5 rue Moret,11
29,Samedi 25 novembre,20h,8,L'international,5 rue Moret,11
29,Samedi 25 novembre,00h,7,L'international,5 rue Moret,11
29,Dimanche 26 novembre,18h,Gratui,L'international,5 rue Moret,11
29,Lundi 27 novembre,20h,10,L'international,5 rue Moret,11
29,Mardi 28 novembre,20h,13,L'international,5 rue Moret,11
29,Mercredi 29 novembre,20h,8,L'international,5 rue Moret,11
29,Jeudi 30 novembre,20h,"8,50",L'international,5 rue Moret,11
29,Jeudi 30 novembre,00h,5,L'international,5 rue Moret,11
29,Vendredi 1er décembre,20h,10,L'international,5 rue Moret,11
29,Vendredi 1er décembre,00h,7,L'international,5 rue Moret,11
29,Samedi 2 décembre,20h,8,L'international,5 rue Moret,11
29,Samedi 2 décembre,00h,7,L'international,5 rue Moret,11
29,Dimanche 3 décembre,19h,10,L'international,5 rue Moret,11
29,Lundi 4 décembre,20h,7,L'international,5 rue Moret,11
29,Mardi 5 décembre,20h,8,L'international,5 rue Moret,11
29,Mercredi 6 décembre,20h,8,L'international,5 rue Moret,11
29,Jeudi 7 décembre,20h,11/13,L'international,5 rue Moret,11
29,Vendredi 8 décembre,20h,8/10,L'international,5 rue Moret,11
29,Samedi 9 décembre,00h,7,L'international,5 rue Moret,11
29,Samedi 9 décembre,20h,11,L'international,5 rue Moret,11
29,Lundi 11 décembre,20h,10,L'international,5 rue Moret,11
29,Mardi 12 décembre,20h,8,L'international,5 rue Moret,11
29,Mercredi 13 décembre,20h,7,L'international,5 rue Moret,11
29,Jeudi 14 décembre,20h,8,L'international,5 rue Moret,11
29,Jeudi 14 décembre,00h,5,L'international,5 rue Moret,11
29,Vendredi 15 décembre,00h,7,L'international,5 rue Moret,11
29,Samedi 16 décembre,14h,Entrée libr,L'international,5 rue Moret,11
29,Dimanche 17 décembre,20h,5,L'international,5 rue Moret,11
"Dany Doriz & Michel Pastre ""Fathers & Sons"" invite le trompettiste américain Ronald Baker",1 novembre,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
The Suits Playground Tribute to Louis Armstrong,2 novembre,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
The Suits Playground Tribute to Louis Armstrong,3 novembre,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Matthieu Boré Blues in New Orleans,4 novembre,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Megaswing,5 novembre,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Blues Monday,6 novembre,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Nirek Mokar & His Boogie Messengers,7 novembre,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Five O'Clock Jazz Group,8 novembre,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
FERMETURE EXCEPTIONNELLE,9 novembre,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
François Laudet Tribute to Gene Krupa & Buddy Rich,10 novembre,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
François Laudet Tribute to Gene Krupa & Buddy Rich,11 novembre,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
François Laudet Tribute to Gene Krupa & Buddy Rich,12 novembre,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Blues Monday,13 novembre,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Matthieu Boré Blues in New Orleans,14 novembre,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Matthieu Boré Blues in New Orleans,15 novembre,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Jonas Molina & Danny Del Toro Band,16 novembre,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Jonas Molina & Danny Del Toro Band,17 novembre,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Jonas Molina & Danny Del Toro Band,18 novembre,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Megaswing,19 novembre,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
David Giorcelli Swing Band,20 novembre,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
David Giorcelli Swing Band,21 novembre,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
David Giorcelli Swing Band,22 novembre,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Marie Laure Celisse & The Frenchy's,23 novembre,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Big Dood & Hot Swingers,24 novembre,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Big Dood & Hot Swingers,25 novembre,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
"Kristin Marion ""French'ment Jazz""",26 novembre,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
"Kristin Marion ""French'ment Jazz""",27 novembre,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Atomic Cocktail,28 novembre,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Jessie Gordon Quartet,29 novembre,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Jessie Gordon Quartet,30 novembre,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Charlye Dream,1 decembre,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Charlye Dream,2 decembre,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Megaswing,3 decembre,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Blues Monday,4 decembre,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Five O'Clock Jazz Group,5 decembre,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
You Rascal Band,6 decembre,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
You Rascal Band,7 decembre,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
You Rascal Band,8 decembre,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
You Rascal Band,9 decembre,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Nirek Mokar & His Boogie Messengers invite Sax Gordon,10 decembre,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Nirek Mokar & His Boogie Messengers invite Sax Gordon,11 decembre,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Blue Waltz,12 decembre,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Nirek Mokar & His Boogie Messengers invite Sax Gordon,13 decembre,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Jack’&’Jills Swing Band,14 decembre,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Jack’&’Jills Swing Band,15 decembre,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Jack’&’Jills Swing Band,16 decembre,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Megaswing,17 decembre,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Louis Prima for Ever Special Noël,18 decembre,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Louis Prima for Ever Special Noël,19 decembre,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
"Dany Doriz & Michel Pastre ""Fathers & Sons""",20 decembre,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Michel Pastre Swing Band invite Saul Rubin,21 decembre,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Michel Pastre Swing Band invite Saul Rubin,22 decembre,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Michel Pastre Swing Band invite Saul Rubin,23 decembre,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Fermeture exceptionnelle,24 decembre,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Megaswing,25 decembre,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Nirek Mokar & His Boogie Messengers,26 decembre,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Cecilya & the Candy Kings,27 decembre,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Cecilya & the Candy Kings,28 decembre,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Cecilya & the Candy Kings,29 decembre,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Cecilya & the Candy Kings,30 decembre,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Réveillon Rock & Swing,31 decembre,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Blues Monday,1 janvier,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Nirek Mokar & His Boogie Messengers,2 janvier,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Dany Doriz Swing Band invite Jeff Hoffman,3 janvier,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Jérome Etcheberry invite Tijn Trommelen,4 janvier,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Jérome Etcheberry invite Tijn Trommelen,5 janvier,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Jérome Etcheberry invite Tijn Trommelen,6 janvier,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Megaswing,7 janvier,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Blues Monday,8 janvier,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Nirek Mokar & His Boogie Messengers,9 janvier,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Philippe Milanta Swinging Quartet avec Claude Tissendier,10 janvier,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Zebulon Boogie Project featuring Eric Luter & Jean Michel Proust,11 janvier,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Zebulon Boogie Project featuring Eric Luter & Jean Michel Proust,12 janvier,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Zebulon Boogie Project featuring Eric Luter & Jean Michel Proust,13 janvier,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Megaswing,14 janvier,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Blues Monday,15 janvier,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Nirek Mokar & His Boogie Messengers,16 janvier,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Jazz Connection Tribute to Louis Prima,17 janvier,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Jazz Connection Tribute to Louis Prima,18 janvier,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Jazz Connection Tribute to Louis Prima,19 janvier,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Jazz Connection Tribute to Louis Prima,20 janvier,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Megaswing,21 janvier,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Blues Monday,22 janvier,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Nirek Mokar & His Boogie Messengers,23 janvier,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Bert de Kort All Stars,24 janvier,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Bert de Kort All Stars,25 janvier,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Bert de Kort All Stars,26 janvier,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Bert de Kort All Stars,27 janvier,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Leslie Lewis Swing Band,28 janvier,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Blues Monday,29 janvier,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Nirek Mokar & His Boogie Messengers,30 janvier,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
Dany Doriz & Michel Pastre Fathers & Sons,31 janvier,21h30,k,Caveau de la Huchette,5 rue de la Huchette,5
